"X";"Y";"H";"Rho1";"Rho2";"Rho3";"Rho4";"Rho5";"Rho6";"Gamma"
14.45287;52.36402;102.6;275;154;106;102;102;94;1.05
14.45291;52.36403;102.6;271;201;117;107;99;94;1.04
14.45294;52.36404;102.5;274;191;134;131;111;114;1.02
14.45298;52.36405;102.5;283;251;163;168;136;140;1.01
14.45302;52.36406;102.5;302;252;206;206;150;170;1.01
14.45305;52.36406;102.4;328;302;246;232;216;191;1
14.45308;52.36407;102.4;360;265;273;250;245;201;0.99
14.45312;52.36408;102.4;386;384;288;252;259;202;1
14.45316;52.36409;102.3;410;350;288;237;204;197;1.01
14.45319;52.36409;102.2;430;340;266;214;212;186;1.01
14.45323;52.3641;102.1;450;396;237;195;191;186;1.01
14.45327;52.36411;102;464;289;209;179;185;197;1.02
14.45331;52.36411;102;470;319;187;170;193;214;1.02
14.45335;52.36412;101.8;473;343;171;172;184;246;1.03
14.45339;52.36412;101.8;473;296;172;196;196;298;1.06
14.45343;52.36413;101.8;467;272;193;238;241;371;1.08
14.45347;52.36414;101.8;469;324;229;302;380;462;1.09
14.4535;52.36414;102;484;356;277;389;393;575;1.1
14.45354;52.36414;101.9;505;453;341;496;513;706;1.1
14.45357;52.36415;101.9;525;466;411;609;664;837;1.09
14.45361;52.36416;101.9;552;439;489;728;797;948;1.08
14.45364;52.36416;101.6;575;512;588;833;1028;1038;1.07
14.45368;52.36417;101.6;597;671;680;914;1136;1096;1.05
14.45371;52.36418;101.6;618;698;758;965;937;1120;1.03
14.45375;52.36419;101.6;645;713;823;999;953;1124;1.02
14.45378;52.3642;101.6;658;712;870;1009;1053;1126;1.02
14.45381;52.36421;101.7;675;729;885;1005;939;1123;1.01
14.45384;52.36422;101.7;687;812;886;979;940;1062;1
14.45388;52.36423;101.7;693;892;843;912;838;998;0.99
14.45391;52.36423;101.6;683;781;771;823;916;914;0.99
14.45395;52.36424;101.5;666;638;685;729;720;820;0.98
14.45399;52.36425;101.5;632;704;596;638;804;713;0.97
14.45403;52.36426;101.5;582;482;511;566;702;691;0.98
14.45406;52.36427;101.5;532;437;482;556;624;660;0.98
14.4541;52.36428;101.6;488;470;491;559;558;650;1
14.45414;52.36429;101.6;461;531;471;558;629;631;1
14.45417;52.3643;101.7;439;472;447;543;557;608;1.01
14.45421;52.36431;101.8;428;412;412;506;612;549;1.03
14.45424;52.36431;101.8;409;449;366;444;496;497;1.04
14.45427;52.36432;101.8;382;334;306;382;455;430;1.05
14.45431;52.36433;101.9;337;290;296;325;406;366;1.06
14.45434;52.36434;102;298;231;280;278;339;317;1.08
14.45438;52.36435;102;259;221;271;249;297;271;1.08
14.45442;52.36436;102.1;228;194;244;220;279;231;1.08
14.45445;52.36437;102.1;205;231;217;191;194;200;1.09
14.45449;52.36437;102.1;201;198;176;166;152;181;1.1
14.45453;52.36438;102;198;205;153;148;149;161;1.12
14.45456;52.36439;101.9;194;190;137;138;144;150;1.15
14.4546;52.3644;101.8;193;171;137;136;138;147;1.17
14.45464;52.3644;101.8;194;149;144;148;153;157;1.18
14.45467;52.36441;101.7;191;179;159;175;185;182;1.19
14.45471;52.36442;101.8;192;182;181;215;176;229;1.19
14.45474;52.36442;101.8;200;186;214;270;268;302;1.18
14.45478;52.36443;101.9;215;206;257;347;332;378;1.18
14.45482;52.36444;101.9;233;242;313;418;392;446;1.18
