E,N,H,Rho.1,Rho.2,Rho.3,Rho.4,Rho.6,Gamma
14.05817167,52.40377,60.59199905,321.5030779,389.283322,503.0034742,481.7597146,1417.745893,1.155346133
14.05820667,52.40378834,60.59400177,303.0557625,401.9740653,444.4518209,498.3359179,1531.306894,1.122664941
14.05824,52.40380666,60.60300064,257.5814336,304.1035559,509.8393574,602.1380164,1438.567944,1.109802158
14.05827334,52.40382334,60.59400177,258.7642084,308.7728923,482.1643538,380.5864972,1305.907791,1.143508893
14.058305,52.40383835,60.62200165,301.4803789,367.1249067,535.3853,370.1214064,1224.333333,1.124410498
14.05833333,52.40385332,60.64599991,332.4435405,420.5083599,588.5417296,404.1899375,1320.33699,1.088484494
14.05836167,52.40386667,60.67300034,322.688723,441.5027537,519.0256351,542.4745571,1141.234262,1.109340451
14.05838833,52.40388168,60.72600174,304.0379241,383.8674609,523.3636091,566.2756075,1216.426919,1.104388318
14.058415,52.403895,60.77500153,256.8390989,289.2055193,413.4475069,327.8739394,1108.663152,1.084537079
14.05844,52.40390835,60.81700134,188.3085089,185.3753035,323.589035,314.5124123,744.5187418,1.066911938
14.05846667,52.40392332,60.875,164.1110197,73.81240383,107.8936783,246.2365207,736.1319071,1.064205042
14.05849167,52.40393667,60.90200043,136.61506,101.5743343,233.9678318,118.4612217,549.2479116,1.115065259
14.05851667,52.40394999,60.94100189,126.5169302,89.57959505,293.2859301,79.81578402,907.5257933,1.102332745
