E,N,H,Rho 1,Rho 2,Rho 3,Rho 4,Rho 5,Rho 6,Gamma,V,Kurs,Strecke gesammt,GWI
13.27163668,52.20377666,39.74200058,778.9557181,963.3432369,953.307613,900.6058762,0.378818888,819.764101,0.916028067,13.28999996,24.10000038,0.488685062,0.117596937
13.27166001,52.20380667,39.73799896,734.8209488,872.9161366,873.0594791,893.8282354,0.936058886,884.0362533,0.922231256,13.34000015,25.89999962,0.492332732,0.125504214
13.27168334,52.20383666,39.76100159,713.7364831,911.1805438,926.9062311,875.1111819,0.284733087,844.2621048,0.939941226,13.26000023,25.10000038,0.496069825,0.131693034
13.27170833,52.20386667,39.76800156,757.1770327,849.6900369,815.0418415,766.3156495,0.638449483,743.2008269,0.969048123,13.68000031,26.70000076,0.499769567,0.127981711
13.27173166,52.20389667,39.78900147,663.9350028,711.4564158,696.3306863,660.6098326,1.447706838,637.9815663,0.940265179,13.5,26,0.503647081,0.141620064
13.271755,52.20392668,39.8219986,468.4305445,503.244759,470.6675344,427.6689316,0.990303054,376.3151729,0.943939941,13.42000008,25.70000076,0.507316187,0.201511185
13.27178001,52.20395667,39.84899902,373.9464794,295.8913574,247.2227754,229.0058085,5.028375689,268.0810019,0.966323318,13.32999992,26.20000076,0.511032676,0.258412198
13.27180335,52.20398666,39.875,607.0911668,686.7283841,540.0952753,489.6581011,2.491525864,475.7870798,0.967469,12.96000004,26.79999924,0.514703348,0.159361403
13.27182668,52.204015,39.9129982,453.5516053,499.4093518,486.8225247,433.6117319,0.66742856,1510.707032,0.954904083,13.21000004,28,0.518336921,0.210539236
13.27185167,52.20404499,39.92399979,514.8912781,488.8028582,421.8801232,357.3541849,0.076030434,353.3742652,0.9421039,13.5,27.29999924,0.521993446,0.182971423
13.27187665,52.204075,39.93500137,656.0262022,668.2196891,652.0379805,568.9602124,0.867304188,502.1357836,0.941405014,13.21000004,26,0.525707561,0.14350113
13.27189999,52.204105,39.93899918,771.6324279,923.2273072,914.90414,833.4430704,0.816448986,747.3570158,0.933076862,13.38000011,25.39999962,0.529397378,0.120922453
13.27192167,52.20413501,39.93399811,776.5311925,895.2178098,893.0285839,833.3665864,1.085283439,765.9596834,0.944971051,13.26000023,25,0.53309535,0.121691319
13.271945,52.204165,39.94400024,729.9237149,723.6917337,595.5668171,489.279185,2.068189277,412.7688821,0.960450082,13.10999966,25.10000038,0.536763662,0.131582255
13.27196833,52.20419501,39.95000076,690.4375571,754.3014244,647.7140943,432.208825,2.987321688,371.4119606,0.936567227,13.27000046,25.70000076,0.540421099,0.135648361
13.27199167,52.204225,39.97499847,679.9238338,675.6820384,496.243617,327.7918926,1.75081083,323.5981503,0.947679788,13.5,24.29999924,0.544154875,0.139380287
13.272015,52.20425499,39.98500061,411.239705,517.1651197,878.4033845,2191.048428,2.000269361,380.219635,0.953545572,13.67000008,24.89999962,0.547917584,0.231870989
13.27203999,52.20428667,39.9640007,462.786637,409.2952749,341.3619808,391.1879567,1.071685814,985.5075258,0.991784244,14.18999958,25.10000038,0.551783174,0.214307019
13.272065,52.20432,39.94300079,526.7359571,478.3255859,337.9724695,292.6850887,0.819798823,183.8022484,1.053374088,14.5699997,25.10000038,0.555781086,0.199981428
13.27208999,52.20435166,39.89899826,441.3043461,407.8766161,343.8757502,261.8016873,1.7648934,213.4077082,1.032426312,14.38000011,25.79999924,0.559840169,0.23394882
13.27211666,52.20438333,39.85499954,538.5674869,417.9023651,368.5210005,460.4954729,2.121884981,201.0189023,0.998355249,14.19999981,26.10000038,0.563813611,0.185372358
13.27214168,52.20441667,39.82699966,517.5187397,337.607423,316.8053459,270.7161697,6.693917527,323.494281,1.0004181,14.31000042,25.60000038,0.56778602,0.193310507
13.27216667,52.20444833,39.77899933,636.6909544,589.7998485,462.7697124,403.1908764,0.915576486,1166.243055,0.984346033,14.14999962,25.39999962,0.571681779,0.154603427
13.27219165,52.20448,39.7519989,767.8612795,912.438998,873.6971251,763.6925902,0.504440562,563.5441998,0.954089282,14.27999973,24.79999924,0.575630268,0.124252819
13.27221499,52.20451167,39.73500061,606.3714915,642.883931,528.1876984,477.9732567,1.039611874,510.1256334,0.944273355,13.97000027,26,0.579557053,0.155725223
13.27224,52.20454167,39.71099854,523.2399547,409.3621771,278.5645864,277.053,1.56373483,199.8737494,0.963056381,13.76000023,25.79999924,0.583406066,0.184056354
13.27226499,52.20457333,39.69300079,463.6473995,371.5218402,273.4150567,251.8237074,0.938694416,180.4202547,0.984714764,13.47000027,25.79999924,0.587220274,0.212384404
13.27229001,52.20460334,39.70999908,449.5146237,382.7074344,287.5779521,235.793901,1.908787572,194.3474206,0.970716122,13.72000027,26,0.591071587,0.215947618
13.27231499,52.20463333,39.6780014,516.6926178,433.1786175,321.4106924,223.972884,3.166731456,185.2464997,0.950276547,13.73999977,26.39999962,0.594780876,0.183915255
13.27233833,52.20466499,39.66799927,607.1119007,507.2173968,392.5882066,275.8275879,4.690768771,294.8574704,0.938327524,13.64000034,26.5,0.598582098,0.154555943
